status,number_of_stories,age,ff_elevation,wall_clad,roof_cov
1,1,81,0,2,4
1,1,42,0,2,4
1,2,19,0,2,2
1,1,28,0,2,4
1,1,30,9,2,4
1,1,20,2,2,4
1,2,2,2,2,4
0,1,24,0,2,3
1,1,46,0,2,3
0,1,24,0,2,3
0,1,13,0,2,1
0,1,12,0,2,3
1,2,14,0,2,4
0,2,1,0,3,1
0,1,17,0,2,3
2,1,15,0,2,3
2,1,17,0,2,3
1,1,13,0,2,3
2,1,16,0,2,3
2,1,17,0,2,3
0,1,16,0,2,3
0,1,17,0,2,4
0,1,48,0,2,4
1,1,27,0,2,3
1,1,45,0,2,3
0,1,45,0,2,3
0,1,43,0,1,3
1,1,23,0,4,3
2,1,23,0,4,3
1,1,28,0,2,3
0,1,16,0,2,3
2,1,29,0,2,3
0,1,29,0,2,3
1,1,12,1,2,3
1,1,30,0,2,3
1,1,15,0,2,4
1,1,11,0,2,4
2,1,23,0,2,3
1,1,30,0,3,4
0,1,1,0,2,4
1,2,14,0,2,4
0,1,45,0,2,4
0,1,16,0,2,4
1,2,14,0,2,4
0,2,2,0,2,4
1,2,22,0,2,4
1,2,4,0,2,4
1,2,27,10,2,4
0,1,46,0,2,4
1,1,32,0,2,3
0,1,26,10,2,3
0,1,29,10,2,4
1,1,28,10,2,4
1,1,49,0,2,4
1,1,41,0,2,2
3,5,53,0,3,2
4,2,44,0,3,2
0,1,42,0,2,3
1,2,15,1,2,4
0,1,41,2,2,4
1,1,70,0,2,4
1,1,64,0,2,4
0,1,59,0,2,1
0,1,46,0,2,4
1,1,21,0,2,4
2,1,31,0,1,3
3,3,24,9,4,2
1,5,40,0,2,2
2,1,46,2,3,1
1,1,16,0,2,4
0,1,35,0,2,4
0,1,27,0,2,4
1,1,12,0,2,4
0,1,15,0,2,4
1,1,17,1,2,4
0,2,17,2,2,4
0,1,28,2,2,4
1,2,7,0,2,4
1,2,23,0,2,4
1,1,20,3,2,4
1,1,22,2,2,4
1,1,20,0,2,4
1,1,27,2,2,4
0,1,30,3,2,3
0,2,25,2,2,4
0,3,1,3,2,1
1,1,18,2,2,4
0,1,17,0,2,3
1,1,18,0,2,4
1,1,50,8,1,1
1,2,58,0,3,3
1,1,47,2,4,3
1,1,48,3,4,3
1,1,68,2,1,1
0,1,58,8,1,3
0,1,77,1,2,1
1,1,34,2,1,1
0,1,63,2,1,1
0,1,54,0,2,1
1,2,25,0,4,1
1,1,63,2,1,1
1,1,60,10,2,3
1,1,65,1,1,1
2,1,66,1,4,3
1,1,16,14,4,1
1,1,47,10,3,2
0,1,9,10,4,1
1,2,40,12,4,3
0,2,9,0,4,1
0,2,22,10,4,1
0,2,1,0,4,1
0,1,32,0,2,2
3,2,35,0,4,1
1,1,66,2,1,3
1,1,104,1,1,1
0,1,37,8,2,4
1,1,27,2,2,4
1,1,21,0,2,4
0,1,9,2,2,4
1,1,16,0,2,4
0,1,17,1,2,3
1,1,1,2,2,4
1,1,17,2,2,4
1,1,17,1,2,4
1,1,17,0,2,4
1,2,4,2,2,4
1,1,22,0,2,4
1,1,21,2,2,4
1,2,21,0,2,4
1,1,18,0,2,4
1,2,18,2,2,1
0,2,24,2,2,4
1,1,23,2,2,4
1,1,29,0,2,3
0,1,23,0,2,3
1,1,19,0,2,4
1,1,22,0,2,4
2,2,22,5,1,2
2,1,36,6,2,3
1,1,50,0,2,3
0,1,50,0,1,1
0,1,50,0,2,3
0,1,49,0,2,4
1,1,50,0,3,4
1,1,49,0,2,4
0,1,50,0,2,1
0,1,49,1,2,4
0,2,2,0,2,1
1,1,50,0,2,3
0,1,48,0,2,4
1,1,13,2,2,4
2,1,23,0,2,3
1,1,34,2,4,3
1,1,25,3,2,3
1,1,44,0,2,4
0,1,30,0,2,4
0,1,24,2,2,3
1,1,48,0,2,4
1,1,45,0,2,3
1,1,40,0,2,3
1,1,48,0,2,1
1,1,48,0,2,3
1,1,26,0,2,4
0,1,49,0,2,4
0,1,46,0,2,4
1,1,58,3,1,1
1,1,58,8,1,2
1,1,48,3,4,3
1,2,9,8,2,1
1,1,52,9,4,3
1,1,12,0,2,1
1,1,59,0,2,1
0,1,3,1,2,2
1,1,18,8,4,1
1,1,30,8,3,2
2,2,39,0,3,2
3,1,58,0,1,1
1,1,33,0,2,3
1,1,51,3,2,2
2,1,19,8,4,3
1,1,35,8,4,1
1,1,48,4,4,1
1,1,46,0,2,2
1,2,39,0,2,2
4,1,45,0,4,1
3,1,37,8,2,3
4,1,40,8,4,1
2,1,87,0,1,3
2,1,48,1,2,3
1,1,64,0,4,2
2,1,4,0,4,1
1,2,37,0,1,4
0,2,27,0,3,3
1,2,30,0,2,3
0,2,30,0,3,3
0,2,8,2,2,4
0,2,1,0,2,4
0,2,10,1,2,4
1,1,27,0,2,4
0,1,40,0,2,4
1,1,41,0,2,4
0,2,6,1,2,4
1,2,27,0,2,2
0,1,40,1,2,3
1,2,12,2,2,3
2,1,40,0,1,3
2,1,42,0,2,4
2,1,42,0,2,4
2,1,43,0,2,4
1,3,32,0,3,3
1,2,29,3,1,1
0,7,51,0,3,2
0,2,25,0,1,1
2,1,51,0,3,3
1,2,36,8,4,3
1,2,46,8,1,1
0,2,50,8,1,3
1,1,45,8,4,1
2,1,38,2,1,3
0,2,42,8,4,3
0,2,52,0,2,3
1,1,42,0,2,3
1,1,35,0,4,1
1,1,47,0,2,3
2,1,47,0,2,3
0,1,40,0,2,1
1,2,41,2,2,4
0,2,6,2,2,4
1,2,8,1,2,4
2,1,63,2,1,1
1,1,55,3,4,1
0,1,92,2,4,1
0,1,24,0,4,1
4,1,68,2,4,1
1,1,32,2,3,3
1,1,10,0,2,3
1,1,10,0,2,3
0,1,60,0,4,1
0,1,23,0,4,1
0,1,32,2,3,1
0,1,13,8,4,1
2,1,10,12,4,3
0,1,77,2,4,1
1,1,23,2,4,3
1,1,10,10,4,3
2,1,11,0,3,1
1,1,92,0,1,1
1,1,40,0,2,3
1,1,16,2,2,3
1,1,15,0,4,3
0,1,34,0,2,1
2,1,15,0,2,3
1,1,15,0,2,4
2,1,43,2,4,2
0,1,30,2,4,2
2,1,43,2,4,1
1,1,45,2,4,3
1,2,34,3,4,1
2,1,31,2,4,2
3,1,43,2,3,1
3,1,26,2,1,3
4,1,33,2,4,1
2,1,32,1,1,1
0,1,9,10,4,1
0,1,10,8,4,3
0,1,39,0,2,1
2,1,87,2,4,1
1,1,27,2,1,2
0,2,27,0,4,1
0,1,92,4,4,1
3,1,92,2,2,3
1,1,92,0,1,1
1,2,8,12,4,1
1,1,92,2,1,3
0,1,92,0,3,1
0,2,32,8,1,1
0,1,64,1,4,1
1,1,57,1,1,1
1,1,60,1,4,1
0,1,85,0,1,3
1,1,85,2,4,1
0,2,66,2,4,1
2,1,54,2,4,3
1,1,67,0,4,3
1,1,27,2,4,1
2,2,33,8,4,1
1,2,53,0,1,1
0,2,45,0,2,3
1,2,77,2,3,1
2,1,40,8,4,1
2,1,82,0,4,1
1,1,13,2,4,3
0,1,18,0,2,3
0,1,5,0,2,3
2,1,2,0,2,3
1,1,15,1,4,3
1,1,38,2,1,1
2,1,44,0,4,1
1,1,21,2,4,3
1,1,44,2,4,3
3,1,44,2,3,1
1,1,44,2,1,1
3,1,33,2,4,1
0,1,45,0,1,3
0,2,38,8,1,1
0,1,15,0,2,3
0,1,14,0,2,3
1,1,38,2,1,2
0,1,38,2,3,2
1,1,38,2,3,1
4,1,43,2,3,1
1,1,77,2,1,3
0,1,77,2,1,3
1,1,77,0,1,1
2,1,92,0,3,3
1,2,19,0,4,3
2,2,20,4,1,3
0,1,30,8,2,1
1,1,60,0,1,3
1,1,77,2,1,3
1,1,62,1,4,1
1,1,58,1,4,1
1,1,87,2,4,3
0,1,87,2,4,3
0,1,92,1,4,1
1,1,82,2,4,1
0,1,82,2,1,1
2,1,37,8,4,3
3,1,52,2,4,3
1,1,22,0,2,3
0,1,16,0,2,3
1,1,15,0,2,3
0,1,15,0,2,3
0,1,24,0,4,1
2,1,25,2,4,1
1,1,42,0,4,1
0,1,43,0,4,3
0,1,43,0,4,1
2,1,43,2,3,1
3,1,33,2,4,1
0,1,9,11,4,1
1,1,26,3,4,3
1,1,32,2,3,2
1,1,32,3,3,2
1,1,10,11,4,3
0,1,26,0,2,1
1,1,27,0,4,1
1,1,52,2,3,2
1,1,52,3,3,1
2,1,43,1,3,1
1,1,24,1,1,3
1,1,24,3,4,3
1,1,22,1,4,3
0,1,92,3,4,1
0,1,92,4,4,1
1,1,92,2,4,1
1,1,78,3,4,1
1,1,92,4,1,3
1,1,92,4,1,2
2,3,20,2,2,3
1,1,92,5,1,1
2,1,92,2,1,2
1,1,14,8,4,1
1,1,92,1,4,1
1,1,52,8,4,1
1,2,14,8,4,1
1,1,25,3,4,1
1,1,52,8,4,1
1,1,67,2,4,2
1,1,67,1,4,1
1,1,68,4,4,2
1,1,59,2,4,3
1,2,62,0,4,1
1,1,82,3,1,2
1,1,87,2,2,3
1,2,87,1,1,1
1,1,92,3,4,2
1,1,51,3,4,1
1,1,92,3,4,1
3,1,22,3,4,3
1,1,23,1,4,3
1,1,47,8,4,1
1,1,50,1,4,3
2,1,12,8,4,3
1,1,57,2,4,1
0,1,40,0,2,3
0,1,15,0,2,3
1,1,16,2,2,3
1,1,15,0,2,3
1,1,34,0,2,3
1,1,14,0,2,3
1,1,31,2,4,3
1,1,40,2,4,2
1,1,39,2,4,2
1,1,45,2,4,2
1,1,38,1,3,2
1,1,38,2,4,2
0,2,26,0,2,4
0,1,51,0,2,3
2,2,27,0,1,1
1,1,51,0,2,2
2,2,35,0,4,3
4,2,44,0,3,2
4,2,44,0,3,2
1,1,42,8,1,1
2,2,26,0,2,2
4,2,44,8,2,1
3,1,40,2,4,2
2,1,35,2,4,2
4,1,44,0,3,2
1,1,21,2,4,3
2,1,55,0,4,1
0,1,61,2,1,1
0,1,41,0,2,1
1,1,57,0,1,3
1,1,43,2,3,1
2,1,10,9,4,2
0,1,13,2,4,1
2,1,23,2,4,1
1,1,32,2,3,1
1,1,68,0,1,2
2,1,33,8,2,1
1,1,43,8,3,1
1,1,26,9,2,3
2,2,24,9,2,4
2,1,36,9,2,3
2,2,20,9,4,1
4,1,34,9,1,3
4,2,30,9,1,3
4,2,27,8,4,1
2,1,21,9,4,1
4,2,15,8,4,1
4,1,31,9,1,1
4,1,31,9,1,3
4,1,32,8,2,3
3,1,44,8,2,2
2,1,20,0,4,3
2,1,30,8,2,2
4,2,29,0,2,2
2,2,9,10,4,3
1,1,26,10,4,3
2,1,39,10,1,1
3,5,53,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
2,1,19,10,4,3
1,2,30,8,4,1
2,2,19,8,2,3
2,1,27,10,2,3
1,2,37,10,1,1
3,2,9,9,1,3
4,1,40,8,2,1
2,2,39,0,3,2
4,2,44,0,3,2
3,5,53,0,3,2
3,1,33,10,1,1
4,1,32,8,1,3
3,2,49,4,1,1
4,2,44,0,3,2
1,1,5,8,4,3
4,1,30,10,1,1
4,2,44,0,3,2
4,2,38,0,1,2
4,2,44,0,3,2
2,2,30,8,4,1
2,2,54,0,2,1
2,2,30,10,1,1
2,1,32,0,1,3
2,1,40,10,1,1
2,1,30,10,4,3
2,1,24,9,1,1
2,2,29,9,4,1
1,1,37,8,3,1
2,1,34,10,4,1
2,2,24,8,4,3
3,1,37,0,3,2
4,1,32,0,4,2
4,1,30,9,1,3
3,1,38,8,1,3
2,2,27,9,4,1
4,1,29,8,1,3
2,2,29,8,4,3
4,1,30,8,1,3
3,1,32,10,1,3
3,1,2,8,4,1
2,1,33,8,4,3
3,2,42,8,2,1
2,2,23,0,4,1
4,2,30,8,1,1
2,1,36,0,2,1
2,2,30,9,4,1
0,1,34,9,2,1
1,1,29,8,2,1
2,2,32,9,4,3
2,2,23,8,4,1
1,2,36,8,1,2
4,1,36,9,4,1
1,2,21,9,2,3
2,2,15,0,2,1
4,1,49,8,2,1
2,1,30,8,4,3
1,2,27,0,2,4
2,1,47,0,3,1
1,3,39,0,2,2
2,3,35,0,2,1
3,1,62,0,2,2
4,1,66,0,3,2
3,1,44,0,2,1
4,1,64,0,2,2
3,1,44,0,2,3
3,1,47,8,2,1
3,1,48,0,3,1
0,2,28,8,2,1
3,1,46,0,3,1
3,1,59,0,2,2
3,1,71,0,2,2
1,5,34,0,2,4
1,1,13,8,4,3
2,3,22,0,4,1
2,2,28,8,2,3
4,1,31,8,1,3
1,1,32,8,2,3
2,1,34,0,1,3
0,1,25,8,1,1
1,2,40,0,2,2
1,1,33,8,2,1
1,1,33,0,4,2
1,2,24,8,4,3
1,1,17,7,4,3
1,1,40,9,1,1
2,1,26,8,1,3
1,1,41,0,1,3
1,2,30,10,1,1
3,1,11,9,4,3
2,1,29,8,1,3
1,1,28,8,1,3
2,1,13,8,4,3
1,2,5,8,4,1
3,0,0,0,3,2
2,3,19,0,4,1
4,1,32,8,1,3
2,2,19,8,4,3
2,1,22,8,4,3
1,2,49,8,2,3
3,1,43,8,2,1
1,5,38,0,2,2
1,1,14,8,4,3
0,2,25,8,2,1
2,1,29,8,1,3
0,1,47,0,2,2
1,1,12,0,2,1
1,1,14,8,4,3
3,1,31,12,1,1
0,1,40,10,2,1
0,1,31,8,2,1
0,1,29,8,2,1
2,1,40,8,4,3
1,1,31,8,2,1
3,1,23,10,2,3
2,1,21,10,2,3
1,1,7,8,4,1
2,2,27,10,4,3
1,1,0,8,2,1
3,1,22,8,4,1
2,1,22,8,4,1
2,2,27,0,3,2
0,2,21,12,2,2
2,1,36,8,4,2
1,1,62,6,4,2
3,1,48,0,2,3
1,1,19,8,2,2
2,3,33,0,4,1
1,2,24,12,2,4
0,1,48,2,3,1
2,1,64,8,1,1
1,1,43,0,2,3
0,1,33,0,3,2
2,2,91,0,1,3
0,1,32,0,3,2
2,2,30,0,2,3
2,1,34,2,4,2
0,1,33,0,3,2
0,1,33,0,3,2
1,2,18,0,3,2
2,2,39,0,3,2
2,1,31,0,2,3
3,1,32,0,4,3
4,1,36,0,4,2
3,1,37,0,4,2
2,1,13,9,4,3
1,1,14,9,4,3
2,2,39,0,3,2
1,1,31,2,3,2
1,1,31,2,4,1
4,1,46,2,3,2
4,1,46,0,3,2
2,2,13,8,4,3
4,1,48,0,3,1
3,1,12,9,4,3
1,1,10,6,4,1
1,1,11,8,4,3
1,1,29,9,1,1
0,1,45,2,3,2
4,1,51,2,3,2
3,1,49,2,3,3
3,1,51,2,2,3
1,2,8,9,2,1
2,2,11,9,4,3
1,1,18,9,4,1
2,1,33,9,2,1
4,2,44,0,3,2
1,1,29,9,3,4
2,1,27,11,3,4
1,1,36,8,3,1
3,1,40,9,3,1
1,1,38,8,4,1
4,1,32,10,1,3
2,1,32,9,1,1
3,1,49,9,3,1
4,1,37,2,3,2
1,1,31,2,3,2
1,1,31,2,3,2
1,1,30,2,3,2
1,1,31,2,3,2
2,1,11,13,4,3
2,1,32,2,3,3
1,1,31,2,3,3
2,1,17,9,4,3
2,1,32,2,3,3
0,1,32,2,3,2
1,1,6,9,1,3
1,1,37,2,3,2
4,2,44,0,3,2
1,1,45,2,3,2
2,1,11,9,4,2
2,1,55,2,4,1
1,1,46,7,1,2
1,1,11,8,4,3
2,1,17,9,2,3
4,1,46,0,1,1
3,1,54,0,2,1
3,1,23,8,1,3
2,1,12,8,4,3
1,1,46,2,3,2
2,1,30,8,1,3
4,1,48,0,3,2
4,1,49,0,4,3
4,2,44,0,3,2
2,1,16,8,4,1
4,1,53,2,3,2
3,1,17,8,4,3
2,1,9,8,4,2
4,1,33,2,3,2
2,1,41,0,2,3
2,1,17,8,4,3
0,1,47,0,1,2
1,2,49,0,2,1
3,1,26,8,2,3
1,2,26,8,4,1
4,1,30,8,4,1
2,1,35,8,3,3
1,1,32,3,4,2
2,1,32,2,1,3
3,1,26,3,4,3
2,1,17,8,4,3
4,1,32,2,4,2
1,1,32,2,3,2
2,1,11,8,4,3
2,2,39,0,3,2
2,1,11,8,4,3
1,1,58,0,2,2
4,2,44,0,3,2
2,1,12,8,4,3
1,1,10,8,4,3
1,1,33,3,3,2
1,1,12,8,4,3
1,1,42,8,4,1
2,1,12,8,4,3
3,1,34,8,2,1
1,1,2,12,4,1
3,1,44,0,3,2
3,1,57,0,3,3
2,1,54,0,2,2
3,1,55,0,3,2
3,1,31,0,3,2
4,1,32,0,3,2
2,1,52,0,2,2
1,1,38,5,2,1
1,1,41,8,2,1
1,1,49,8,1,1
1,1,43,8,2,3
2,1,30,0,4,2
1,1,30,0,3,2
1,1,14,8,4,3
2,1,10,8,4,3
2,1,11,8,4,1
3,1,36,0,4,2
2,1,10,0,4,3
3,1,40,3,1,2
3,1,32,0,4,2
1,1,40,0,4,2
2,1,39,4,4,2
3,1,42,0,3,2
0,1,4,8,4,3
3,1,61,0,1,1
2,1,44,0,3,1
1,1,13,0,4,3
3,1,41,0,3,2
4,1,52,0,3,2
4,1,46,0,4,1
4,2,44,0,3,2
3,1,51,2,2,2
2,1,39,8,1,1
0,1,34,8,4,1
1,2,27,8,4,1
3,1,25,8,4,1
0,1,13,8,2,1
1,1,28,8,4,3
2,2,39,0,3,2
2,1,31,8,4,1
3,1,49,1,4,1
1,1,31,8,2,3
3,2,38,8,2,2
1,1,24,8,4,1
4,1,29,8,4,3
4,2,27,8,4,1
1,2,27,8,4,1
4,1,30,8,4,1
3,1,27,3,3,1
4,1,39,0,3,1
2,1,38,10,1,3
2,1,35,3,3,1
1,1,50,3,3,1
3,1,43,3,3,1
1,1,45,3,4,1
0,1,34,0,2,2
0,1,43,0,1,2
0,1,43,0,1,2
1,1,1,8,2,1
4,1,59,0,1,3
2,1,18,8,1,1
2,1,45,0,2,1
3,1,55,0,2,1
1,1,20,12,4,1
1,1,28,8,4,3
1,1,42,0,2,3
1,2,44,0,2,2
3,1,20,8,4,3
1,1,12,8,4,3
1,1,5,8,4,3
1,2,13,8,4,3
1,1,28,8,4,3
2,1,47,3,3,2
2,1,25,5,4,1
1,1,23,0,4,1
0,1,18,0,2,1
1,1,19,8,4,1
1,1,31,8,2,4
2,1,40,0,1,3
1,1,34,8,2,3
2,2,18,0,4,3
1,2,10,0,2,1
2,3,27,0,2,4
0,2,0,0,2,1
3,1,45,0,2,1
2,2,24,8,4,1
4,2,33,7,4,1
0,1,0,9,1,1
2,1,17,8,4,3
2,1,33,10,1,3
1,3,35,0,2,4
4,1,39,7,4,1
0,1,33,0,3,2
4,1,46,7,4,1
1,3,51,0,1,1
1,1,64,3,4,1
1,1,31,9,1,1
2,2,37,8,1,2
1,1,23,9,4,1
4,1,48,0,3,1
2,2,20,8,4,3
2,2,23,9,4,3
4,1,54,2,4,3
2,1,23,9,4,3
4,1,42,2,3,2
3,1,6,8,4,3
2,2,10,9,1,3
1,1,15,9,4,3
1,1,37,2,3,2
0,1,1,0,1,1
2,1,30,9,1,3
4,1,40,8,2,3
0,1,27,8,1,1
1,1,16,9,1,3
0,1,3,1,1,1
1,2,34,0,2,1
2,1,25,8,4,1
1,2,17,0,2,1
1,1,36,2,3,1
0,1,51,2,4,2
4,1,34,2,3,2
2,1,36,2,3,2
4,1,34,2,3,1
1,1,13,2,4,3
3,5,53,0,3,2
1,1,15,9,4,3
1,1,15,8,4,3
0,1,1,9,1,1
2,2,10,8,4,3
2,2,10,8,4,1
1,2,10,8,4,1
1,1,52,0,2,1
4,5,31,0,2,1
1,3,87,0,3,3
1,1,32,8,1,3
0,1,31,8,4,1
2,1,30,8,4,3
0,1,45,0,4,3
0,1,54,0,2,1
2,1,26,8,4,3
1,1,28,8,2,1
1,1,24,0,4,3
1,1,30,8,4,1
0,1,33,8,1,3
1,1,32,0,4,3
2,1,54,0,2,2
2,1,21,8,4,3
2,1,32,12,1,1
2,1,59,0,2,2
4,1,26,12,1,3
4,1,31,12,4,3
3,1,28,12,2,3
1,1,1,8,4,1
1,2,30,8,4,3
0,1,12,8,4,3
3,1,57,0,2,1
2,1,44,0,2,3
1,1,41,8,2,1
0,1,24,8,2,4
1,1,43,0,2,2
2,1,16,8,4,2
0,1,12,8,2,1
0,1,29,8,2,1
1,1,27,8,2,4
1,1,31,8,2,1
2,1,37,8,2,1
2,1,38,8,2,1
1,1,19,8,4,1
0,1,0,8,3,1
2,1,20,8,4,3
2,1,25,8,4,3
0,2,25,8,2,1
1,1,30,8,1,2
3,1,59,8,4,3
3,2,21,8,4,2
1,1,10,8,2,1
2,2,7,8,4,1
1,1,18,8,4,3
3,1,26,8,2,3
1,1,29,8,4,3
0,1,18,8,4,1
1,1,52,1,3,2
1,1,37,3,3,1
2,1,13,8,4,3
4,2,44,0,3,2
1,1,1,8,3,3
3,1,27,8,1,2
3,2,13,8,4,3
0,1,24,8,2,2
1,2,18,0,3,2
2,1,27,3,4,2
1,1,19,3,4,2
0,1,34,3,4,1
2,1,24,3,4,2
2,1,24,4,4,1
4,1,35,2,4,2
4,1,33,2,3,2
4,2,44,0,3,2
1,1,27,2,4,3
0,1,35,2,3,2
4,2,44,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
4,2,44,0,3,2
3,5,31,0,2,1
3,1,57,0,2,2
2,1,41,0,2,1
2,2,12,0,2,1
4,1,49,0,2,2
4,1,43,0,3,2
3,1,32,0,3,3
3,1,41,0,2,2
0,2,0,8,2,2
1,2,9,8,2,1
2,1,45,0,4,3
4,1,32,8,1,1
1,2,44,8,1,1
4,1,29,8,1,1
1,1,3,8,4,3
3,1,38,8,1,1
1,1,47,0,2,3
2,2,20,8,4,1
0,2,37,8,1,1
2,3,34,8,2,4
0,14,42,5,3,2
1,3,54,0,2,1
0,1,54,0,2,1
1,1,58,0,2,1
1,1,47,8,1,3
0,2,15,8,2,2
0,1,49,8,2,1
3,1,58,2,4,1
0,1,54,0,2,1
1,2,59,0,4,1
2,2,59,2,2,1
0,1,49,8,2,1
2,1,38,0,2,3
1,2,50,0,2,4
0,3,22,0,2,1
0,1,43,8,2,2
1,2,27,9,2,1
4,1,41,10,1,2
1,1,45,10,2,2
2,1,18,4,4,3
1,1,12,8,4,3
2,1,73,0,1,1
2,1,23,12,2,4
2,1,3,8,4,1
1,1,20,10,2,3
3,1,29,8,1,1
1,1,3,0,1,3
2,1,28,0,2,4
2,1,28,8,1,3
2,1,27,12,1,3
4,1,31,0,1,2
1,1,33,12,1,3
1,1,48,0,2,2
0,1,59,0,1,2
3,1,17,10,4,3
1,1,1,10,4,3
1,1,12,14,4,2
3,2,27,0,1,2
2,1,17,0,4,3
2,2,8,14,4,3
1,1,18,0,4,3
0,2,1,8,3,2
1,1,4,0,4,2
2,2,0,0,4,2
2,2,14,10,4,1
3,2,32,0,1,1
4,1,28,12,1,2
1,1,4,0,1,3
1,1,37,12,1,1
1,1,27,10,2,4
2,1,40,0,4,3
3,1,10,14,4,3
2,2,17,0,3,2
2,1,10,12,4,3
2,1,26,0,1,2
2,1,24,0,4,3
2,1,12,10,4,3
1,2,35,0,2,4
1,1,33,12,2,4
3,1,47,12,1,4
2,2,32,12,2,4
2,1,31,0,2,2
2,2,28,12,2,2
1,2,36,0,2,4
1,1,36,12,2,3
1,2,14,0,2,4
1,1,15,0,2,4
1,1,35,0,1,3
1,1,37,0,2,3
2,1,29,0,2,4
3,1,37,0,3,2
3,1,39,0,3,2
3,19,52,0,3,2
2,2,22,0,2,4
2,1,46,0,2,3
2,1,46,0,2,4
1,3,37,0,2,3
1,2,34,0,2,3
0,1,37,0,4,2
1,1,31,0,4,2
0,1,7,0,4,2
1,1,0,0,4,3
1,1,34,0,4,2
1,1,39,0,4,2
0,1,0,0,3,2
1,1,0,0,4,3
1,1,20,0,3,2
4,1,45,0,3,2
4,2,37,0,2,3
2,1,50,0,4,2
3,1,34,0,4,2
4,1,23,0,1,1
1,1,32,2,3,2
3,1,50,0,0,1
2,1,78,0,3,1
1,1,63,0,2,1
4,1,2,2,3,1
3,1,51,0,3,3
4,2,51,0,3,3
3,2,51,0,3,3
3,3,26,0,3,1
2,6,31,0,2,2
2,1,18,0,2,2
1,1,11,0,4,3
2,1,8,0,4,3
1,1,10,0,4,3
1,1,7,0,4,3
2,1,8,0,4,3
2,1,8,0,4,3
2,1,9,0,4,3
2,1,9,0,4,3
2,1,11,0,4,3
2,1,8,0,4,3
1,1,8,0,4,3
2,1,7,0,4,3
2,1,8,0,4,3
3,1,6,0,4,3
2,1,5,0,4,3
1,1,4,0,4,3
3,1,35,0,3,2
2,1,18,0,3,2
0,1,33,5,1,3
4,2,23,0,4,3
0,1,53,1,3,3
2,1,56,0,2,3
1,1,11,0,4,3
2,1,11,0,4,3
3,1,11,0,3,3
1,2,61,1,2,3
1,1,10,3,4,3
1,1,22,0,2,3
1,2,0,0,4,1
